,subject_id,colour,num,is_dark,rt,language
6183,55ae6a39fdf99b44a305f1eb,yellows,5,0,1251.1,English
6193,55ae6a39fdf99b44a305f1eb,browns,18,1,1627,English
6203,55ae6a39fdf99b44a305f1eb,yellows,16,1,940.5,English
6213,55ae6a39fdf99b44a305f1eb,browns,12,1,1688.2,English
6223,55ae6a39fdf99b44a305f1eb,yellows,16,1,1423.6,English
6233,55ae6a39fdf99b44a305f1eb,browns,20,1,1626,English
6243,55ae6a39fdf99b44a305f1eb,reds,8,0,1201.5,English
6253,55ae6a39fdf99b44a305f1eb,blues,3,0,1044.6,English
6263,55ae6a39fdf99b44a305f1eb,blues,9,0,2166.1,English
6273,55ae6a39fdf99b44a305f1eb,yellows,19,1,1050.6,English
6283,55ae6a39fdf99b44a305f1eb,browns,17,1,1402.2,English
6293,55ae6a39fdf99b44a305f1eb,reds,15,1,897.9,English
6303,55ae6a39fdf99b44a305f1eb,blues,12,1,2008.2,English
6313,55ae6a39fdf99b44a305f1eb,reds,19,1,1176.6,English
6323,55ae6a39fdf99b44a305f1eb,browns,3,0,1111.5,English
6333,55ae6a39fdf99b44a305f1eb,yellows,6,0,1002.6,English
6343,55ae6a39fdf99b44a305f1eb,reds,5,0,1116.5,English
6353,55ae6a39fdf99b44a305f1eb,yellows,17,1,1114.9,English
6363,55ae6a39fdf99b44a305f1eb,yellows,11,1,2310.4,English
6373,55ae6a39fdf99b44a305f1eb,browns,2,0,1370.2,English
6383,55ae6a39fdf99b44a305f1eb,blues,4,0,1127.4,English
6393,55ae6a39fdf99b44a305f1eb,browns,4,0,883.6,English
6403,55ae6a39fdf99b44a305f1eb,browns,10,1,1653.4,English
6413,55ae6a39fdf99b44a305f1eb,browns,6,0,1445.6,English
6423,55ae6a39fdf99b44a305f1eb,yellows,16,1,1225.4,English
6433,55ae6a39fdf99b44a305f1eb,blues,16,1,1586.1,English
6443,55ae6a39fdf99b44a305f1eb,browns,5,0,989.6,English
6453,55ae6a39fdf99b44a305f1eb,reds,15,1,1002.6,English
6463,55ae6a39fdf99b44a305f1eb,browns,18,1,1020.1,English
6473,55ae6a39fdf99b44a305f1eb,yellows,3,0,1014.4,English
6483,55ae6a39fdf99b44a305f1eb,blues,15,1,1953.9,English
6493,55ae6a39fdf99b44a305f1eb,blues,8,0,954.6,English
6503,55ae6a39fdf99b44a305f1eb,yellows,4,0,1240.1,English
6513,55ae6a39fdf99b44a305f1eb,yellows,10,1,1150.5,English
6533,55ae6a39fdf99b44a305f1eb,reds,18,1,1258.5,English
6543,55ae6a39fdf99b44a305f1eb,yellows,3,0,976.2,English
6553,55ae6a39fdf99b44a305f1eb,reds,4,0,939.1,English
6563,55ae6a39fdf99b44a305f1eb,blues,3,0,1009.8,English
6573,55ae6a39fdf99b44a305f1eb,reds,10,0,2377.3,English
6583,55ae6a39fdf99b44a305f1eb,blues,17,1,2948.4,English
6593,55ae6a39fdf99b44a305f1eb,reds,2,0,1009.4,English
6603,55ae6a39fdf99b44a305f1eb,browns,12,1,1603.4,English
6613,55ae6a39fdf99b44a305f1eb,yellows,7,0,1161.4,English
6623,55ae6a39fdf99b44a305f1eb,yellows,17,1,850.9,English
6633,55ae6a39fdf99b44a305f1eb,yellows,18,1,823.2,English
6643,55ae6a39fdf99b44a305f1eb,blues,9,0,1622.5,English
6653,55ae6a39fdf99b44a305f1eb,blues,13,0,920.6,English
6663,55ae6a39fdf99b44a305f1eb,browns,15,1,1988.7,English
6673,55ae6a39fdf99b44a305f1eb,yellows,12,1,1351.7,English
6683,55ae6a39fdf99b44a305f1eb,browns,11,0,1192,English
6693,55ae6a39fdf99b44a305f1eb,reds,5,0,1343.3,English
6703,55ae6a39fdf99b44a305f1eb,reds,13,1,1241.6,English
6713,55ae6a39fdf99b44a305f1eb,browns,8,0,1160.8,English
6723,55ae6a39fdf99b44a305f1eb,reds,19,1,1018.4,English
6733,55ae6a39fdf99b44a305f1eb,blues,20,1,1034.6,English
6743,55ae6a39fdf99b44a305f1eb,reds,1,0,935.2,English
6753,55ae6a39fdf99b44a305f1eb,reds,7,0,1019.8,English
6763,55ae6a39fdf99b44a305f1eb,browns,20,1,1125.2,English
6773,55ae6a39fdf99b44a305f1eb,yellows,12,1,1527.9,English
6783,55ae6a39fdf99b44a305f1eb,yellows,13,1,1130,English
6793,55ae6a39fdf99b44a305f1eb,reds,9,0,1485.1,English
6803,55ae6a39fdf99b44a305f1eb,reds,16,1,802.5,English
6813,55ae6a39fdf99b44a305f1eb,browns,9,0,1525.5,English
6823,55ae6a39fdf99b44a305f1eb,blues,15,1,1254.4,English
6833,55ae6a39fdf99b44a305f1eb,reds,14,1,1622.6,English
6843,55ae6a39fdf99b44a305f1eb,reds,2,0,842.6,English
6853,55ae6a39fdf99b44a305f1eb,yellows,19,1,1215.6,English
6863,55ae6a39fdf99b44a305f1eb,yellows,4,0,1125.4,English
6873,55ae6a39fdf99b44a305f1eb,blues,6,0,1212.4,English
6883,55ae6a39fdf99b44a305f1eb,reds,11,0,1647.5,English
6893,55ae6a39fdf99b44a305f1eb,reds,9,0,920.3,English
6903,55ae6a39fdf99b44a305f1eb,browns,6,0,1382.3,English
